id,user_id,vehicle_model,battery_capacity_kwh,charging_station_id,charging_station_location,charging_start,charging_end,energy_consumed,charging_duration_hours,charging_rate_kw,charging_cost_usd,time_of_day,day_of_week,soc_start_pct,soc_end_pct,distance_km,temperature_c,vehicle_age_years,charger_type,user_type
1,User_1,BMW i3,108,Station_391,Houston,2024-01-01 00:00,2024-01-01 00:39,60.71,0.59,36.39,13.09,Evening,Tuesday,29.37,86.12,293.6,27.9,2,DC Fast Charger,Commuter
2,User_2,Hyundai Kona,100,Station_428,San Francisco,2024-01-01 01:00,2024-01-01 03:01,12.34,3.13,30.68,21.13,Morning,Monday,10.12,84.66,112.1,14.3,3,Level 1,Casual Driver
3,User_3,Chevy Bolt,75,Station_181,San Francisco,2024-01-01 02:00,2024-01-01 04:48,19.13,2.45,27.51,35.67,Morning,Thursday,6.85,69.92,71.8,21,2,Level 2,Commuter
4,User_4,Hyundai Kona,50,Station_327,Houston,2024-01-01 03:00,2024-01-01 06:42,79.46,1.27,32.88,13.04,Evening,Saturday,83.12,99.62,199.6,38.3,1,Level 1,Long-Distance Traveler
5,User_5,Hyundai Kona,50,Station_108,Los Angeles,2024-01-01 04:00,2024-01-01 05:46,19.63,2.02,10.22,10.16,Morning,Saturday,54.26,63.74,203.7,-7.8,1,Level 1,Long-Distance Traveler
6,User_6,Nissan Leaf,50,Station_335,San Francisco,2024-01-01 05:00,2024-01-01 07:10,43.18,1.17,14.33,36.9,Evening,Saturday,75.22,71.98,143.7,-5.3,0,DC Fast Charger,Long-Distance Traveler
7,User_7,Chevy Bolt,85,Station_162,Houston,2024-01-01 06:00,2024-01-01 07:53,36.86,3.54,26.19,22.21,Evening,Friday,60.75,70.8,81.3,27.6,4,Level 2,Commuter
8,User_8,Chevy Bolt,75,Station_302,Los Angeles,2024-01-01 07:00,2024-01-01 10:42,51.47,2.66,26.7,9.8,Afternoon,Monday,56.2,63.79,116.5,-4.4,0,Level 2,Long-Distance Traveler
9,User_9,Chevy Bolt,62,Station_493,Los Angeles,2024-01-01 08:00,2024-01-01 09:21,43.59,1.72,14.29,32.47,Evening,Wednesday,33.47,92.96,208.3,22.5,4,Level 1,Commuter
10,User_10,Hyundai Kona,50,Station_452,Chicago,2024-01-01 09:00,2024-01-01 12:44,78.87,2.03,11.76,21.31,Morning,Wednesday,27.4,70.05,54,27.5,3,DC Fast Charger,Commuter
11,User_11,BMW i3,50,Station_206,Los Angeles,2024-01-01 10:00,2024-01-01 13:59,18.21,2.65,10.31,38.22,Night,Thursday,76.09,82.27,64.6,0.5,3,DC Fast Charger,Casual Driver
12,User_12,Chevy Bolt,85,Station_78,San Francisco,2024-01-01 11:00,2024-01-01 14:55,22.56,2.06,4.46,14.05,Evening,Sunday,14.62,85.86,194.8,34.3,0,DC Fast Charger,Long-Distance Traveler
13,User_13,Hyundai Kona,100,Station_16,San Francisco,2024-01-01 12:00,2024-01-01 13:00,34.26,3.07,5.52,10.97,Afternoon,Monday,19.21,51.63,249.1,23.7,0,Level 2,Casual Driver
14,User_14,Nissan Leaf,75,Station_327,Houston,2024-01-01 13:00,2024-01-01 15:54,16.56,3.59,19.77,37.44,Morning,Friday,25.78,69.2,159.2,34.1,7,Level 2,Commuter
